2023-02-12 11:14:49.419 [info] Log level: Info
2023-02-12 11:14:49.419 [info] Validating found git in: "git"
2023-02-12 11:14:49.419 [info] Using git "2.39.1" from "git"
2023-02-12 11:14:49.419 [info] > git rev-parse --show-toplevel [405ms]
2023-02-12 11:14:49.856 [info] > git rev-parse --show-toplevel [425ms]
2023-02-12 11:14:49.953 [info] > git rev-parse --show-toplevel [89ms]
2023-02-12 11:14:49.992 [info] > git rev-parse --show-toplevel [27ms]
2023-02-12 11:14:50.013 [info] > git rev-parse --show-toplevel [8ms]
2023-02-12 11:14:50.091 [info] > git rev-parse --show-toplevel [69ms]
2023-02-12 11:14:50.119 [info] > git rev-parse --show-toplevel [14ms]
2023-02-12 11:14:50.167 [info] > git rev-parse --show-toplevel [34ms]
2023-02-12 11:14:50.199 [info] > git rev-parse --show-toplevel [21ms]
2023-02-12 11:14:50.212 [info] > git rev-parse --show-toplevel [2ms]
2023-02-12 11:14:50.232 [info] > git rev-parse --show-toplevel [9ms]
2023-02-12 11:14:50.264 [info] > git rev-parse --show-toplevel [21ms]
2023-02-12 11:14:50.277 [info] > git rev-parse --show-toplevel [2ms]
2023-02-12 11:14:50.353 [info] > git rev-parse --show-toplevel [65ms]
2023-02-12 11:14:50.366 [info] > git rev-parse --show-toplevel [4ms]
2023-02-12 11:14:50.379 [info] > git rev-parse --show-toplevel [1ms]
2023-02-12 11:14:50.395 [info] > git rev-parse --show-toplevel [3ms]
2023-02-12 11:14:50.406 [info] > git rev-parse --show-toplevel [1ms]
2023-02-12 11:14:50.422 [info] > git rev-parse --show-toplevel [2ms]
2023-02-12 11:14:50.436 [info] > git rev-parse --show-toplevel [2ms]
2023-02-12 11:14:50.449 [info] > git rev-parse --show-toplevel [1ms]
2023-02-12 11:14:50.463 [info] > git rev-parse --show-toplevel [2ms]
2023-02-12 11:14:52.729 [info] > git rev-parse --show-toplevel [52ms]
